[ Jun 19 2022 03:49:41:2510] | [+] Address at index 1 cleaned | Cleaned Address: 165, West 4th Street, Chillicothe, Ross County, Ohio, 45601, United States
[ Jun 19 2022 03:49:42:2464] | [+] Address at index 2 cleaned | Cleaned Address: 291, South Paint Street, Chillicothe, Ross County, Ohio, 45601, United States
[ Jun 19 2022 03:49:43:2499] | [+] Address at index 3 cleaned | Cleaned Address: 104, South High Street, Waverly Estates, Waverly City, Pike County, Ohio, 45690, United States
[ Jun 19 2022 03:49:44:2361] | [+] Address at index 4 cleaned | Cleaned Address: 211, Schmitt Drive, Kilgore Estates, Waverly City, Pike County, Ohio, 45690, United States
[ Jun 19 2022 03:49:45:3748] | [+] Address at index 5 cleaned | Cleaned Address: Exception Raised: 'NoneType' object has no attribute 'address'
[ Jun 19 2022 03:49:46:2551] | [+] Address at index 6 cleaned | Cleaned Address: East Millinocket First Congregational, 11, Maple Street, East Millinocket, Penobscot County, Maine, 04430, United States
[ Jun 19 2022 03:49:47:5613] | [+] Address at index 7 cleaned | Cleaned Address: Exception Raised: 'NoneType' object has no attribute 'address'
[ Jun 19 2022 03:49:48:2554] | [+] Address at index 8 cleaned | Cleaned Address: Green Street United Methodist Church, 13, Green Street, Augusta, Kennebec County, Maine, 04330, United States
[ Jun 19 2022 03:49:49:2683] | [+] Address at index 9 cleaned | Cleaned Address: Penney Memorial United Baptist Church, 393, Water Street, Augusta, Kennebec County, Maine, 04330, United States
[ Jun 19 2022 03:49:50:2284] | [+] Address at index 10 cleaned | Cleaned Address: Exception Raised: 'NoneType' object has no attribute 'address'
[ Jun 19 2022 03:49:51:2367] | [+] Address at index 11 cleaned | Cleaned Address: Exception Raised: 'NoneType' object has no attribute 'address'
[ Jun 19 2022 03:49:52:2349] | [+] Address at index 12 cleaned | Cleaned Address: Exception Raised: 'NoneType' object has no attribute 'address'
[ Jun 19 2022 03:49:53:2473] | [+] Address at index 13 cleaned | Cleaned Address: 165, West 4th Street, Chillicothe, Ross County, Ohio, 45601, United States
[ Jun 19 2022 03:49:54:2388] | [+] Address at index 14 cleaned | Cleaned Address: 291, South Paint Street, Chillicothe, Ross County, Ohio, 45601, United States
[ Jun 19 2022 03:49:55:2648] | [+] Address at index 15 cleaned | Cleaned Address: 104, South High Street, Waverly Estates, Waverly City, Pike County, Ohio, 45690, United States
[ Jun 19 2022 03:49:56:3155] | [+] Address at index 16 cleaned | Cleaned Address: 211, Schmitt Drive, Kilgore Estates, Waverly City, Pike County, Ohio, 45690, United States
[ Jun 19 2022 03:49:57:8584] | [+] Address at index 17 cleaned | Cleaned Address: Exception Raised: 'NoneType' object has no attribute 'address'
[ Jun 19 2022 03:49:58:6948] | [+] Address at index 18 cleaned | Cleaned Address: East Millinocket First Congregational, 11, Maple Street, East Millinocket, Penobscot County, Maine, 04430, United States
