name|address|city|state|zip_code|day|time|info
 Chillicothe Big Book Study| 291 South Paint Street |Chillicothe|Ohio|45601|Wednesday|7:00 pm - 8:00 pm|Big Book, Discussion, Open Meeting, Wheelchair Access
 Waverly Pike County Group| 104 South High Street |Waverly|Ohio|45690|Wednesday|7:30 pm - 8:30 pm|Discussion, Open Meeting, Wheelchair Access
 One Step At A Time Group| 211 Schmitt Drive |Waverly|Ohio|45690|Monday|7:00 pm - 8:00 pm|12 Steps & 12 Traditions, Open Meeting, Wheelchair Access
 Searsport Group| 7 Knox Bros Avenue |Searsport|Maine|04974|"Saturday|Sunday"|"6:30 pm - 7:30 pm|7:00 pm - 8:00 pm"|"Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access"
 East Millinocket Group| 11 Maple Street |East Millinocket|Maine|04430|Sunday|7:00 pm - 8:00 pm|Open Meeting, Speaker
 Togus VA Speaker Meeting| 1 VA Center |Augusta|Maine|04330|"Monday|Tuesday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Speaker, Wheelchair Access|Open Meeting, Speaker, Wheelchair Access"
 Serenity Group Augusta| 13 Green Street |Augusta|Maine|04330|Saturday|7:00 pm - 8:00 pm|Discussion, Open Meeting, Wheelchair Access
 Looney Toons Group| 393 Water Street |Augusta|Maine|04330|Saturday|10:00 am - 11:00 am|Discussion Open Meeting, Wheelchair Access
 12th Step Being A Sponsor| 6809 Guadalupe Street|Austin|Texas|78752|Sunday|10:00 am - 11:00 am|Discussion, Open Meeting
 Way of Life Group| 408 North East Street|Atlanta|Texas|75551|"Tuesday|Thursday|Friday|Tuesday|Thursday|Friday|Saturday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Big Book, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|12 Steps & 12 Traditions, Closed Meeting, Non-Smoking"
 Grupo Libertad 10 de Junio| 1920 Rusko Village|Athens|Texas|75752|"Monday|Friday"|"7:00 pm - 9:00 pm|7:00 pm - 9:00 pm"|"Closed Meeting, Discussion, Spanish, Non-Smoking|Closed Meeting, Discussion, Spanish, Non-Smoking"
 Chillicothe First Capital Group| 165 West 4th Street |Chillicothe|Ohio|45601|Friday|7:30 pm - 8:30 pm|Concurrent with Al-Anon, Open Meeting, Speaker, Wheelchair Access
 Chillicothe Big Book Study| 291 South Paint Street |Chillicothe|Ohio|45601|Wednesday|7:00 pm - 8:00 pm|Big Book, Discussion, Open Meeting, Wheelchair Access
 Waverly Pike County Group| 104 South High Street |Waverly|Ohio|45690|Wednesday|7:30 pm - 8:30 pm|Discussion, Open Meeting, Wheelchair Access
 One Step At A Time Group| 211 Schmitt Drive |Waverly|Ohio|45690|Monday|7:00 pm - 8:00 pm|12 Steps & 12 Traditions, Open Meeting, Wheelchair Access
 Searsport Group| 7 Knox Bros Avenue |Searsport|Maine|04974|"Saturday|Sunday"|"6:30 pm - 7:30 pm|7:00 pm - 8:00 pm"|"Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access"
 East Millinocket Group| 11 Maple Street |East Millinocket|Maine|04430|Sunday|7:00 pm - 8:00 pm|Open Meeting, Speaker
 Togus VA Speaker Meeting| 1 VA Center |Augusta|Maine|04330|"Monday|Tuesday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Speaker, Wheelchair Access|Open Meeting, Speaker, Wheelchair Access"
 Serenity Group Augusta| 13 Green Street |Augusta|Maine|04330|Saturday|7:00 pm - 8:00 pm|Discussion, Open Meeting, Wheelchair Access
 Looney Toons Group| 393 Water Street |Augusta|Maine|04330|Saturday|10:00 am - 11:00 am|Discussion Open Meeting, Wheelchair Access
 12th Step Being A Sponsor| 6809 Guadalupe Street|Austin|Texas|78752|Sunday|10:00 am - 11:00 am|Discussion, Open Meeting
 Way of Life Group| 408 North East Street|Atlanta|Texas|75551|"Tuesday|Thursday|Friday|Tuesday|Thursday|Friday|Saturday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Big Book, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|Discussion, Open Meeting, Non-Smoking|12 Steps & 12 Traditions, Closed Meeting, Non-Smoking"
 Grupo Libertad 10 de Junio| 1920 Rusko Village|Athens|Texas|75752|"Monday|Friday"|"7:00 pm - 9:00 pm|7:00 pm - 9:00 pm"|"Closed Meeting, Discussion, Spanish, Non-Smoking|Closed Meeting, Discussion, Spanish, Non-Smoking"
 Athens Group| 408 West Tyler Street|Athens|Texas|75751|"Monday|Tuesday|Tuesday|Wednesday|Friday"|"6:00 pm - 7:00 pm|6:00 pm - 7:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Discussion, Open Meeting, Wheelchair Access, Non-Smoking|Closed Meeting, Wheelchair Access, Women, Non-Smoking|Closed Meeting, Wheelchair Access, Men, Non-Smoking|As Bill Sees It, Closed Meeting, Wheelchair Access, Non-Smoking|Open Meeting, Speaker, Wheelchair Access, Non-Smoking"
 Contoocook Keep It Simple Group| 24 Maple St |Hopkinton|New Hampshire|03229|Sunday|7:00 pm - 8:00 pm|Wheelchair Access, Speaker, Discussion, Concurrent with Al-Anon
 Triangle Group Online| 401 Southwest Plaza|Arlington|Texas|76016|"Monday|Saturday"|"7:00 pm - 8:00 pm|9:00 am - 10:00 am"|"Big Book, Open Meeting|Big Book, Open Meeting"
 AA Happy Thoughts Group| 1330 Hooksett Road |Hooksett|New Hampshire|03106|Thursday|7:00 pm - 8:00 pm|Discussion, Virtual
 Esperanza De Vivir| 2323 West Lincoln Avenue|Anaheim|California|92801|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish"
 Discussion Anaheim| 202 West Broadway|Anaheim|California|92805|"Wednesday|Wednesday|Thursday|Friday|Sunday"|"12:00 pm - 1:00 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|12:00 pm - 1:00 pm|5:30 pm - 6:30 pm"|"Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting|Wheelchair Access, Open Meeting"
 In the Hall Group| 50 Westminster Street  |Walpole|New Hampshire|03608|"Monday|Wednesday|Friday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Discussion|Discussion|Discussion"
 Shining Light Group| 162 Village Road |Newbury|New Hampshire|03255|"Monday|Tuesday|Wednesday|Thursday|Friday"|"8:30 am - 9:30 am|8:30 am - 9:30 am|8:30 am - 9:30 am|8:30 am - 9:30 am|8:30 am - 9:30 am"|"Wheelchair Access, Discussion|Wheelchair Access, Discussion|Wheelchair Access, Discussion|Wheelchair Access, Discussion|Wheelchair Access, Discussion"
